Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4OZ5FuNkw1Tqj8hOFlTQru,2wPsNCwhEGb0KvChZ5DD52,Saranam Ayyappa,Devotional Songs -Revival By K J Yesudas,K. J. Yesudas,01-09-2006,206373,34,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-14T07:32:10Z,"filmi,mollywood",0.465,0.537,4,-11.44,1,0.034,0.724,0.00012,0.244,0.958,149.937,3
1RSrA1FfYCI4pNsF6GHwuP,3kzGeGPP5gd5KAMm6QggHV,Ek Haath Ridhiji Bharenge,Ganesh Chaturthi Special (Hindi Devotional Songs),Anup Jalota,01-07-2016,387709,7,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-14T07:32:17Z,"bhajan,classic bollywood,filmi,ghazal",0.58,0.492,6,-13.473,1,0.0644,0.331,0,0.224,0.733,74.832,4
0h1h1UAWLrm7HyCrLlJbIs,2M8ZZEQdxPXHTee5xxkC3M,Jai Ganesh Jai Ganesh,Ganesh Chaturthi Special (Hindi Devotional Songs),Khushboo Jain,01-07-2016,234004,13,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-14T07:32:17Z,bhojpuri pop,0.613,0.53,9,-9.199,1,0.0509,0.595,0,0.0684,0.478,155.864,3
0QZ3oSRBxrBBtZyuAN5NyX,4Qk9pgVDvRHGK1aCgIaDye,Jai Ho Ganpati,Ganesh Chaturthi Special (Hindi Devotional Songs),Jaswant Sinha,01-07-2016,553920,11,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-14T07:32:17Z,,0.587,0.345,0,-14.881,1,0.0291,0.422,0,0.245,0.753,171.999,4
6EFFtBrRQJCIJIpwgLgepk,"4ec676jWgAuvEZZg0y7dBy,35CAsKgLaKwN6sglA8BJsd",Jay Ganraya,Ganesh Chaturthi Special (Hindi Devotional Songs),"Nitin Mukesh,Sapna Mukerji",01-07-2016,343248,15,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-14T07:32:17Z,"classic bollywood,filmi,ghazal",0.442,0.64,0,-8.349,1,0.0491,0.306,0,0.0806,0.637,110.075,4
0Aw9KV4qQzPuz4NRzV3Xao,4hkB2bR5ek6lJChj6aunCn,Om Gan Ganpatye Namo Namah-Mantra,Ganesh Chaturthi Special (Hindi Devotional Songs),Anuradha Paudwal,01-07-2016,241188,35,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-14T07:32:17Z,"bhajan,classic bollywood,desi pop,filmi,ghazal,modern bollywood",0.746,0.624,3,-7.006,1,0.0493,0.313,0,0.064,0.558,139.07,4
6ovAWLmr09n1YFNoCQW671,3kzGeGPP5gd5KAMm6QggHV,Om Jai Ganpati Deva,Ganesh Chaturthi Special (Hindi Devotional Songs),Anup Jalota,01-07-2016,381596,7,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-14T07:32:17Z,"bhajan,classic bollywood,filmi,ghazal",0.609,0.617,0,-11.259,1,0.0372,0.769,0,0.0714,0.867,99.851,4
4yj4jVBwK7YGMpwQl0002i,4ec676jWgAuvEZZg0y7dBy,Om Jai Jagdish Hare,Ganesh Chaturthi Special (Hindi Devotional Songs),Nitin Mukesh,01-07-2016,461546,35,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-14T07:32:17Z,"classic bollywood,filmi,ghazal",0.639,0.523,4,-11.059,1,0.0307,0.422,0,0.651,0.731,91.034,4
0oz5lIeaJPiYLFpm7mpp8j,6yxTjuy0mMTQv88EM8KWeG,Om Sidhivinayak Swami Raksha Karo,Ganesh Chaturthi Special (Hindi Devotional Songs),Lopita Mishra,01-07-2016,450082,8,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-14T07:32:17Z,jain bhajan,0.753,0.389,10,-11.795,1,0.14,0.631,0,0.328,0.888,79.12,4
3HbY6JGWPlZc4mmiCrJTWA,3kzGeGPP5gd5KAMm6QggHV,Shradha Ke Modak Mere,Ganesh Chaturthi Special (Hindi Devotional Songs),Anup Jalota,01-07-2016,469237,8,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-14T07:32:17Z,"bhajan,classic bollywood,filmi,ghazal",0.513,0.46,1,-13.822,1,0.0618,0.672,0,0.0797,0.784,144.455,4
