"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:70WqscwNSU8sGpxY0fLFJ9","Shiv Panchakshar Stotra","spotify:artist:6WOdPJmexxFINcKMkP2jMG, spotify:artist:1E6arsXf5Fgsnv9YpSzjpE","Sachet Tandon, Parampara Tandon","spotify:album:40FGpbcNYZpMXFy6ATkDbP","Shiv Panchakshar Stotra","spotify:artist:6WOdPJmexxFINcKMkP2jMG, spotify:artist:1E6arsXf5Fgsnv9YpSzjpE","Sachet Tandon, Parampara Tandon","2021-11-24","https://i.scdn.co/image/ab67616d0000b273adb9641cfe4c270818289ba5","1","1","202176","https://p.scdn.co/mp3-preview/5afe1130643b8d17060c64d4a3886fd42349dc80?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:1FOY1KpBkUHr4oMN8zSPdL","Mahalakshmi Chalisa","spotify:artist:4hkB2bR5ek6lJChj6aunCn","Anuradha Paudwal","spotify:album:3wE2V8WFpHNXyQ3M0iiUdY","Mahalakshmi Chalisa (Original)","spotify:artist:4hkB2bR5ek6lJChj6aunCn","Anuradha Paudwal","2021-10-21","https://i.scdn.co/image/ab67616d0000b273f383297219e62a641286c5b2","1","1","632528","https://p.scdn.co/mp3-preview/fc2cfb4ce11e3c5cb371971c5e7422c39b3971de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:2VVWesya5cV42MywLFq9t4","Sai Narayana","spotify:artist:6ohaQzKaXrobAL8paLSaxq, spotify:artist:3UOrPjiw3UxtqP8ZoKR908","Salim–Sulaiman, Raj Pandit","spotify:album:6JsHw5SHdk8lS9Xrjv11Fv","Sai Narayana","spotify:artist:6ohaQzKaXrobAL8paLSaxq, spotify:artist:3UOrPjiw3UxtqP8ZoKR908","Salim–Sulaiman, Raj Pandit","2021-11-22","https://i.scdn.co/image/ab67616d0000b273166d1e3c30e4539f73af293c","1","1","236739","https://p.scdn.co/mp3-preview/8104f537839c64e6d1d790a5c9255b8cd9620925?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:0vgJrhQIFhmsZoYtg1ruFE","Maa Sherawali (From ""Satyameva Jayate 2"")","spotify:artist:6FtZhorjCMfkaVJ7kKdmq7, spotify:artist:6WOdPJmexxFINcKMkP2jMG, spotify:artist:71hjb5G92mGoKRSAW3Cj00","Payal Dev, Sachet Tandon, Anu Malik","spotify:album:0MKhal5DdD2tX3QDcJ3XFC","Maa Sherawali (From ""Satyameva Jayate 2"")","spotify:artist:6FtZhorjCMfkaVJ7kKdmq7, spotify:artist:6WOdPJmexxFINcKMkP2jMG, spotify:artist:71hjb5G92mGoKRSAW3Cj00","Payal Dev, Sachet Tandon, Anu Malik","2021-11-23","https://i.scdn.co/image/ab67616d0000b2738ea92533afb1491483809f61","1","1","253097","https://p.scdn.co/mp3-preview/6f9a0faff09785427d589043c10d9f2e7c9a161e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:3luzFxNizScqHkjIV4wPDy","Om Jai Lakshmi Mata","spotify:artist:1dVygo6tRFXC8CSWURQJq2, spotify:artist:14HU1ikR555oozRRbVQeZg","Sonu Nigam, Amruta Fadnavis","spotify:album:1ZWzqNyoalyjaOzgp4YkZj","Om Jai Lakshmi Mata","spotify:artist:1dVygo6tRFXC8CSWURQJq2, spotify:artist:14HU1ikR555oozRRbVQeZg","Sonu Nigam, Amruta Fadnavis","2021-10-28","https://i.scdn.co/image/ab67616d0000b2731d15b794a287a3c27d694d9a","1","1","329241","https://p.scdn.co/mp3-preview/3aaa738d3fdf0502c372508333d9199c43c9a89e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:7HnA75M3apr0nqOyTkSG2L","Jaidev Jaidev Aarti","spotify:artist:0oOet2f43PA68X5RxKobEy, spotify:artist:7apTJ2UKJkBZNKwCiPkfLJ","Shreya Ghoshal, Gulraj Singh","spotify:album:444xXkIQ9HtEJqY76MUAvE","Jaidev Jaidev Aarti","spotify:artist:0oOet2f43PA68X5RxKobEy, spotify:artist:7apTJ2UKJkBZNKwCiPkfLJ","Shreya Ghoshal, Gulraj Singh","2021-09-06","https://i.scdn.co/image/ab67616d0000b2732c1912dc94b3b86e01de0a1f","1","1","204198","https://p.scdn.co/mp3-preview/7af51690869ce0e639a13ab54c90de4d8d490608?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:1MixzlhNUVExml2Q0HJsJw","Ram Kaho Shri Ram Kaho","spotify:artist:1UwEdeOyu3Vdv94XdTMLcd","Shashikant Vyas","spotify:album:71tE6ont6bAj3JiIzVFsfG","Ram Kaho Shri Ram Kaho","spotify:artist:1UwEdeOyu3Vdv94XdTMLcd","Shashikant Vyas","2021-10-27","https://i.scdn.co/image/ab67616d0000b27317f117c47c94405aeacdccfd","1","1","197320","https://p.scdn.co/mp3-preview/c3a4fcc6b77acac780844e3cecd12a938481734a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:2UyPPIZUlELvQ8GYjZk5h2","Ganesh Stuti - Single","spotify:artist:0fbWc7OdhX6zSxVmA11dbe","Shantanu Herlekar","spotify:album:6NrgLNWB8Sue1REhcTvwqw","Ganesh Stuti - Single","spotify:artist:5Uxx7FP9BD4kMSPg0Z7he8","Ameya Naik","2021-05-03","https://i.scdn.co/image/ab67616d0000b273013ae50f10eaacaae9a8a6c4","1","1","239111","https://p.scdn.co/mp3-preview/ecbe060fe4a18eb33c8cf96060d0a567f910c1d8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:7IlATms1MMPTvjYVql6Vyj","Gajamukha","spotify:artist:0w4e7HVbqAHFPN6VkIlvhe, spotify:artist:2PqidtGHU5eFq7YfWMDPKh, spotify:artist:5o36rLQd78Zh8CaT8rn59d","Suresh Wadkar, Padma Wadkar, Shreyas Puranik","spotify:album:0NWMOrzUCArvUjNXuNjxwF","Gajamukha","spotify:artist:0w4e7HVbqAHFPN6VkIlvhe, spotify:artist:2PqidtGHU5eFq7YfWMDPKh, spotify:artist:5o36rLQd78Zh8CaT8rn59d","Suresh Wadkar, Padma Wadkar, Shreyas Puranik","2021-09-08","https://i.scdn.co/image/ab67616d0000b273ae4301d29a2c57ceb46c312f","1","1","273777","https://p.scdn.co/mp3-preview/7fcdc6eeae7c676c410774e62178a983144a6a21?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:4pFkq96rqIzbqar4ASjZCD","Mahalakshmi Mantra","spotify:artist:3e23DvNuM4Z78nPsX8P1D9","Lalitya Munshaw","spotify:album:4V8ByCyXfEg01MSgWpPnBb","Laxmi Pooja","spotify:artist:3e23DvNuM4Z78nPsX8P1D9, spotify:artist:1UwEdeOyu3Vdv94XdTMLcd","Lalitya Munshaw, Shashikant Vyas","2020-11-11","https://i.scdn.co/image/ab67616d0000b27337875175b6808bb8683d390c","1","1","313476","https://p.scdn.co/mp3-preview/cf288096616e5997d737929dfc69eb5f545196d7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:7wavprkU2TlcwtdQadwr3G","Meri Maa Ke Barabar Koi Nahi","spotify:artist:1tqysapcCh1lWEAc9dIFpa","Jubin Nautiyal","spotify:album:13OdD5jCONeFVuTYnNKZVY","Meri Maa Ke Barabar Koi Nahi","spotify:artist:1tqysapcCh1lWEAc9dIFpa","Jubin Nautiyal","2021-10-05","https://i.scdn.co/image/ab67616d0000b273e8a1e2e0921890c8f3e0a001","1","1","298045","https://p.scdn.co/mp3-preview/dfb9514cd26bbbae32f267cfa24f6e504ecea107?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:5jiqE7cJApaGlQal6TQMNB","Ram Banvas","spotify:artist:3kzGeGPP5gd5KAMm6QggHV","Anup Jalota","spotify:album:75MML2PH6wWya6tkXFEcyL","Deepavali Essentials - Ramayan Bhajans","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2021-10-27","https://i.scdn.co/image/ab67616d0000b27332d5fba58147e9d61fdf3408","1","8","358543","https://p.scdn.co/mp3-preview/c507704096ab2e6867650e6e41034735685543ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:2sowczKs3nrOsSpI5sYqNb","Shri Hanuman Chalisa","spotify:artist:4f7KfxeHq9BiylGmyXepGt, spotify:artist:4wrKd1pYWjtQZKHR6uuw1a","Tanishk Bagchi, Kapil Rauunak","spotify:album:3kLAaU9uqQsLWZGM71Aos5","Shri Hanuman Chalisa","spotify:artist:4f7KfxeHq9BiylGmyXepGt, spotify:artist:4wrKd1pYWjtQZKHR6uuw1a","Tanishk Bagchi, Kapil Rauunak","2021-11-02","https://i.scdn.co/image/ab67616d0000b27391b36ab192fd5a53d37d2cfa","1","1","882061","https://p.scdn.co/mp3-preview/ddbc4eb5febb3a5f00de7251e69688b287efb674?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:0tPYy4Fx3A0P1syTS4zlmV","Jai Hanuman (feat. Ustad Zakir Hussain)","spotify:artist:4tgxFlmtGx08MtTKWeqEuR, spotify:artist:6DDCjHWtL6jTl1B5wG8tF6","Amitabh Bachchan, Zakir Hussain","spotify:album:4OdvV4bxAA6YiEnCgh6KtE","Jai Hanuman (feat. Ustad Zakir Hussain)","spotify:artist:4tgxFlmtGx08MtTKWeqEuR","Amitabh Bachchan","2021-04-27","https://i.scdn.co/image/ab67616d0000b273e9bcc81bbd8b4c6782d73f80","1","1","199764","https://p.scdn.co/mp3-preview/378511fd9f22db1d7be0084f49cf1f690fd802b6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:7C3gw0JpDJhHH1Av5tOk8m","Shirdi Sai Baba","spotify:artist:1HGMG8RHvcu1mfdM9MeTek, spotify:artist:5QUfOS3Yj6WjRn5HP8WYqN","Sadhana Sargam, Vigneshwar Kalyanaraman","spotify:album:6m45n7ov88n4DaYCuJRsfZ","Shirdi Sai Baba","spotify:artist:1HGMG8RHvcu1mfdM9MeTek, spotify:artist:5QUfOS3Yj6WjRn5HP8WYqN","Sadhana Sargam, Vigneshwar Kalyanaraman","2021-10-22","https://i.scdn.co/image/ab67616d0000b273758087d29efd76363e05b17e","1","1","335543","https://p.scdn.co/mp3-preview/a764152236e9c8ef8dbab023db9597224b0cd55e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:4ECasrEmA3NeiHQpinwZ2A","Hare Krishna Hare Rama","spotify:artist:1tqysapcCh1lWEAc9dIFpa","Jubin Nautiyal","spotify:album:3DCa2gf0DtBTNRQWeH3mx9","Hare Krishna Hare Rama","spotify:artist:1tqysapcCh1lWEAc9dIFpa","Jubin Nautiyal","2021-08-26","https://i.scdn.co/image/ab67616d0000b273b675a58a9bf63f83d8533a2f","1","1","309143","https://p.scdn.co/mp3-preview/746734c2561d68d5b5675ecb572e6fefd706c68f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:2RrFlsHll4RHFyM4Xzfu4K","Namo Namo Durge Maharani","spotify:artist:4qBGdyghgT451PS14X8lTP","Sawani Shende","spotify:album:39yUODp5HCalBk8N0PQgt9","Namo Namo Durge Maharani","spotify:artist:4qBGdyghgT451PS14X8lTP","Sawani Shende","2021-09-24","https://i.scdn.co/image/ab67616d0000b2735a10a3f9971c3653422cd583","1","1","270883","https://p.scdn.co/mp3-preview/8563e529437f4ccf0ed6271d4bcd6f3c2c7f76ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:1ojdLWWOgcLQOerismnLw4","Aarti Shree Radha Raman Ki","spotify:artist:4hkB2bR5ek6lJChj6aunCn","Anuradha Paudwal","spotify:album:0zkgRaEiX1H2gwxKNzvxU7","Aarti Shree Radha Raman Ki","spotify:artist:4hkB2bR5ek6lJChj6aunCn","Anuradha Paudwal","2021-09-28","https://i.scdn.co/image/ab67616d0000b273f6dedc63cc15b05d83fcf3ae","1","1","340498","https://p.scdn.co/mp3-preview/e8473661ec4e3457ec63957d7babb0f173b703ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:6wW6bK7oUTMgBTLYxsAdHa","Jiska Rakhwala Hai Ram","spotify:artist:3kzGeGPP5gd5KAMm6QggHV","Anup Jalota","spotify:album:6J6jD6ks22Fnr19w6js4fH","Jiska Rakhwala Hai Ram","spotify:artist:3kzGeGPP5gd5KAMm6QggHV","Anup Jalota","2021-09-19","https://i.scdn.co/image/ab67616d0000b2738a238bdb0d651bf7d27688be","1","1","257269","https://p.scdn.co/mp3-preview/36f9304945c3211219d6902875d30f438679e95b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:4MjeaQcJSY1gT2JUcgEsvv","Shri Amarnath Ishwaram","spotify:artist:6WOdPJmexxFINcKMkP2jMG","Sachet Tandon","spotify:album:0FYMZIuy7IbfKz2fOFsPS6","Shri Amarnath Ishwaram","spotify:artist:6WOdPJmexxFINcKMkP2jMG","Sachet Tandon","2021-08-06","https://i.scdn.co/image/ab67616d0000b273f221bc9be8a4e2227256349b","1","1","312017","https://p.scdn.co/mp3-preview/3edba465a7c9fd5a23a110c1b26b482bd7e90343?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:7C8wkoDwRn1OmgzMGo2vB8","Om Namah Shivay","spotify:artist:0w4e7HVbqAHFPN6VkIlvhe","Suresh Wadkar","spotify:album:7pp4i3IaT64GvnnvZPZG6D","Om Namah Shivay","spotify:artist:0w4e7HVbqAHFPN6VkIlvhe","Suresh Wadkar","2021-07-23","https://i.scdn.co/image/ab67616d0000b27351cace9160a8b3d0229eff5b","1","1","2011145","https://p.scdn.co/mp3-preview/d408e61792ab6f51ab347e7d4074b54384577547?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:7Kfx4dFzgOwrKIKYyBRQXE","Ganpati Bapa Morya - Vighneshwaray","spotify:artist:3TPlDqL7bezoe6zi0wb0P7, spotify:artist:5pHGolVxp4QTvcuSnLCo2X","Parthiv Gohil, Taufiq Qureshi","spotify:album:0LUm6bbpm1mrn1P7hBIv8R","Ganpati Bapa Morya - Vighneshwaray","spotify:artist:3TPlDqL7bezoe6zi0wb0P7","Parthiv Gohil","2021-08-05","https://i.scdn.co/image/ab67616d0000b273fdfbd2714dc1a83b91a62b8f","1","1","303345","https://p.scdn.co/mp3-preview/53f915dd510089a41c02fec85ce12fc654a3ad80?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:3ZBTv0pKvJ6YId7ozxW4Uv","Shiv Tandav Stotram (Har Har Shiv Shankar)","spotify:artist:6WOdPJmexxFINcKMkP2jMG, spotify:artist:1E6arsXf5Fgsnv9YpSzjpE","Sachet Tandon, Parampara Tandon","spotify:album:1ZRdSPEkMEzUXtwRBDZ89H","Shiv Tandav Stotram (Har Har Shiv Shankar)","spotify:artist:6WOdPJmexxFINcKMkP2jMG, spotify:artist:1E6arsXf5Fgsnv9YpSzjpE","Sachet Tandon, Parampara Tandon","2021-07-09","https://i.scdn.co/image/ab67616d0000b2734df66e150dfe3569fe23de82","1","1","331384","https://p.scdn.co/mp3-preview/dec58f7f24cee5aab7ea8179ab5345bb8ce09906?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:20btJsGuq9FdDYVlrXkljP","Shri Ram Ki Mahima","spotify:artist:1W8O3VMkoLKHlnPtojVU8l","Kshitij Tarey","spotify:album:5czM78GU2xusjd65FOJxvC","Shri Ram Ki Mahima","spotify:artist:1W8O3VMkoLKHlnPtojVU8l","Kshitij Tarey","2021-04-13","https://i.scdn.co/image/ab67616d0000b2739138057197276875e241787a","1","1","300978","https://p.scdn.co/mp3-preview/69980b644969132ecb51cc408c959a1481d18176?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:2J1H4rCfx989a7NLfWh3Ij","Radhe Radhe Barsane Wali Radhe by Alka Yagnik (From ""Radhe Radhe Barsane Wali Radhe by Alka Yagnik - Zee Music Devotional"")","spotify:artist:3gBKY0y3dFFVRqicLnVZYz, spotify:artist:5a4Lwkfl8momi2Two1wSBA","Alka Yagnik, Sanjeev Chaturvedi","spotify:album:0SRA9Y9MaotqrRWxaIYPnF","Radhe Radhe Barsane Wali Radhe by Alka Yagnik (From ""Radhe Radhe Barsane Wali Radhe by Alka Yagnik - Zee Music Devotional"")","spotify:artist:3gBKY0y3dFFVRqicLnVZYz, spotify:artist:5a4Lwkfl8momi2Two1wSBA","Alka Yagnik, Sanjeev Chaturvedi","2021-04-08","https://i.scdn.co/image/ab67616d0000b273faa6b3d05cccc8906a252718","1","1","340571","https://p.scdn.co/mp3-preview/11ee614c371fc9a496a42cdaf06c24ea65331c82?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:6swf0xZe702UEfj8KZoxo1","Kabira","spotify:artist:1tqysapcCh1lWEAc9dIFpa, spotify:artist:3jNaDQZQjbidKVJrIhhibh","Jubin Nautiyal, Raaj Aashoo","spotify:album:6be4oT1YKcwiJTKcMxBfWo","Kabira","spotify:artist:1tqysapcCh1lWEAc9dIFpa, spotify:artist:3jNaDQZQjbidKVJrIhhibh","Jubin Nautiyal, Raaj Aashoo","2021-06-03","https://i.scdn.co/image/ab67616d0000b2735e01bb8b5c53989e6ab7a1a7","1","1","556348","https://p.scdn.co/mp3-preview/bd60da7e227c3d1a8052b0985b531d433bfd4b6f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:4rcXVrnzljYLyJWwvO3xUD","Maha Mrityunjay Mantra","spotify:artist:6iv4lysB1yHXoZJ2gfqTdh","Shashwat Singh","spotify:album:0koQKmBb7RY6iDUMCTz50Q","Maha Mrityunjay Mantra - Single","spotify:artist:5Uxx7FP9BD4kMSPg0Z7he8","Ameya Naik","2021-05-03","https://i.scdn.co/image/ab67616d0000b273549088c9ceae8b47d5cbef34","1","1","365000","https://p.scdn.co/mp3-preview/1a8fc05a811b6bc39adfb13f8a8b8ef8a6b13cf5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:1tNzsDzIsvCgkRiEgTGexx","Payoji Maine Ram Ratan Dhan Payo","spotify:artist:6FlhYAFzTu0cO6Aybnksfh","Varsha Shrivastava","spotify:album:7k29n4JGlRSLRMg0vdE6c9","Payoji Maine Ram Ratan Dhan Payo","spotify:artist:6FlhYAFzTu0cO6Aybnksfh","Varsha Shrivastava","2021-05-19","https://i.scdn.co/image/ab67616d0000b273f8c7e94f0d9057a6d21c6e6a","1","1","366403","https://p.scdn.co/mp3-preview/2eacd65057e4f6c0eacde6e1a67565f861604ecf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:","2021-11-24T04:24:10Z"
